,Timestamp,"Кафедра, на якій ви навчалися",Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ",Чи обрали б ви КПІ знову?,Який найвищий рівень освіти ви б порадили собі отримати,Чому ви б зробили саме такий вибір?,Що ви хотіли отримати від навчання?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечував вас університет всім необхідним для навчання?,Чи задоволені ви спілкуванням зі своїми викладачами?,Які дисципліни виявилися для вас найбільш корисними? Чому?,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Коли ви почали працювати?,На якому курсі ви почали працювати?,Ви одразу працювали за спеціальністю?,"Чи подобається вам галузь, в якій ви працюєте?",Чи працюєте ви за спеціальністю?,В якій компанії ви працюєте?,Галузь компанії,Кількість працівників,На якій посаді ви працюєте?,"Чи достатньо знань та навичок, отриманих в університеті, щоб знайти роботу?","Чи були актуальними знання, отримані в університеті, на момент закінчення?",Чи вважаєте ви перспективною отриману спеціальність?,"Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?",Наявність якого диплому була важливою?,"Передайте привіт студентам, випускникам та викладачам КПІ",Що б ви змінили в цьому опитуванні?
207,2017/02/28 12:07:38 PM GMT+3,ММСА,2011,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,"знання для того, щоб займатися наукою;знання для використання на роботі;диплом - формальне підтвердження знань",Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,"Мат. ан., Функ ан., Лінійка.
Хоча в житті не використовую, але корисно для постановки ходу мислення",,Ні,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,,Під час навчання,4.0,Так,Так,,Google,IT,Більше 800,Site Reliability Engineer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
208,2017/02/28 12:08:18 PM GMT+3,ПЗКС,2005,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Найкращий ВУЗ того часу в технінчному напрямку,знання для використання на роботі,Повністю не влаштовує,Частково забезпечував,Скоріше задоволений,"Дискретна математика, Бази данних, паралельне програмування, системне програмування","Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,"я працював с 2го курсу, тому практику проходим там, де і працював",Під час навчання,2.0,Так,Так,Так,ДатаАрт,IT,Більше 800,Керівник програм,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,Привіт!,
209,2017/02/28 12:09:13 PM GMT+3,ІТМ,2017,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку,Скоріше не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Ні,,Під час навчання,5.0,Ні,Важко відповісти,"Ні, працюю в іншій галузі",,IT,201-800,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Ні, потреба в спеціалістах зменшується",Ні,,Привіт,
210,2017/02/28 12:13:11 PM GMT+3,Скс,2012,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Альтернатива еще слабее,знання для використання на роботі,Скоріше влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",Дискретная математика,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,2.0,Так,Так,Так,Adyen B.V.,IT,201-800,Developer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,,
211,2017/02/28 12:19:36 PM GMT+3,ТЕВН,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,Скоріше влаштовує,Повністю забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На кафедрі, писав диплом",Дійсно проходив практику,Важко відповісти,,Одразу після закінчення університету,,Так,Так,Так,"ВП ""ХАЕС""",Виробництво,Більше 800,Електрослюсар,"Так, перед співбесідою лише повторив пройдене в університеті","Так, працював саме з тим, що вивчав в університеті","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,,
212,2017/02/28 12:23:51 PM GMT+3,ДМ,2017,"Вчився в КПІ, але не закінчив навчання",Навчатися в іншому ВНЗ,Не закінчував би КПІ,"Не знав куди поступати, а випускники моеи школи навчалися в кпи, вони розповили як тут классно, ось я и пийшов",знання для використання на роботі,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","Основы Физиологии, тому що я зрозумив, що мени це подобаеться",Важко відповісти,Ні,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Важко відповісти,я не походив практику,Під час навчання,3.0,Ні,Важко відповісти,Не працюю,,,,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,ни,"Для деяких студентив, яки навчалися та були видраховани нема пидходящих вариантив, наприкла д нема варианту не проходив практику взагали.
Кнопку Далі і важко відповісти перенести на правий край під формою, Але кнопку далі розмістити справа від Важко відповісти. У хедері ця зеленеа полоска, мені не зромулі нащо, якщо є округленний прямокутник. Убрати або його, синій прямокутник округлений і відцентрувать надпис ЩЕ ЗОВСІМ ТРОХИ по горизонталі зеленої плашки, або убрати зелену плашку и перемістіти надпис с округленим прямокутником в низ."
213,2017/02/28 12:25:33 PM GMT+3,Кафедра теорії та практики управління,2014,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,"Вважаю, що обраний мною напрям виявився в процесі навчання не цікавим для мене і не користується попитом на ринку праці.",знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Важко відповісти,,Під час навчання,4.0,Ні,Так,"Ні, працюю в іншій галузі",,IT,Більше 800,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Ні, вже зараз майже неможливо знайти роботу",Ні,,"Студентам рекомендую більш серьйозно ставитись до вибору напрямку навчання, випускникам-не чекати ""з моря погоди"", а самостійно шукати можливості працевлаштування у великих відомих компаніях. А викладачам, які мають силу, наснагу до викладання і повагу до студентів хочу подякувати і побажати сил на подальшу діяльність. Тим викладачам, які хочуть самоствердитись за рахунок студентів або літніх людей, які не можуть дати ради своїй поведінці, бажаю змінити профіль діяльності або йти зі спокіним серцем на заслужений відпочинок.",
214,2017/02/28 12:35:52 PM GMT+3,СР,2007,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Магістр або спеціаліст,,"знання для того, щоб займатися наукою;знання для використання на роботі",Повністю не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Ні,,Працював до вступу в університет,,Так,Важко відповісти,"Ні, працюю в іншій галузі",,Дизайн,Більше 800,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше так, але довелося вивчити деякі нові технології","Ні, потреба в спеціалістах зменшується",Ні,,,
215,2017/02/28 12:44:50 PM GMT+3,ЕП,2016,Бакалавр,"Навчатися в КПІ, але за іншим напрямом",Важко відповісти,,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,,,Ні,"На підприємстві, знайшов сам","На практиці писав диплом, як звіт здав розділ диплому",Так,,Під час навчання,2.0,Ні,Так,"Ні, працюю в іншій галузі",Design Kiev,IT,21-80,Php dev,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше так, але довелося вивчити деякі нові технології","Ні, потреба в спеціалістах зменшується",Ні,,,
216,2017/02/28 12:50:21 PM GMT+3,БІ,2016,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,КПІ ТОП ВУЗ!,"знання для того, щоб займатися наукою;знання для використання на роботі;можливість жити в гуртожитку","Щось влаштовує, щось ні",Частково забезпечував,Повністю задоволений,"Програмування - працюю зараз в ІТ компанії.
Економіка",,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,"Все, зараз система набуття практичних знань повністю не працює",Під час навчання,1.0,Ні,Так,"Ні, працюю в іншій галузі","ТОВ ""ІННОВЕЙШН ДЕВЕЛОПМЕНТ ХАБ""",IT,21-80,Головний фахівець розробки автоматизованих систем департаменту розробки,"Так, але краще займатися додатково, щоб отримати більше можливостей","Ні, зараз немає роботи, де можна було б їх використати","Так, потреба в спеціалістах зростає",Ні,,,
217,2017/02/28 12:51:06 PM GMT+3,ААЕ,2017,Магістр або спеціаліст,Не навчатися в ВНЗ,Не закінчував би КПІ,Немає користі від диплому,знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку,Скоріше не влаштовує,Частково забезпечував,,"Математичний аналіз
Теорія процесів та систем
Фізична акустика",,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,Підприємство на більш актуальне,Під час навчання,5.0,Так,Ні,Так,,ЗМІ,21-80,Інженер ефірної апаратної,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше ні, але теоретична база актуальна","Ні, вже зараз майже неможливо знайти роботу",Ні,,Не марнуйте час в університеті,Список кафедр
218,2017/02/28 12:53:58 PM GMT+3,АЕМCЕП,2014,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Так,"На кафедрі, писав диплом",Дійсно проходив практику,Важко відповісти,,Одразу після закінчення університету,,Так,Так,Так,,Будівництво,21-80,інженер,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,привіт,
219,2017/02/28 12:54:08 PM GMT+3,РТПС,2014,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Чому саме КПІ: це найкращий технічний (і не тільки:)) ВНЗ України.,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Повністю задоволений,"Вища математика. Працюю розробником, і при написання складних алгоритмів дуже допомагає.
Нажаль, не пам""ятаю назву дисципліни точно: Функціональний аналіз, який вів Каширський та Мат.Статистика, яку вів Жук. Корисні при написанні алгоритмів обробки відео, кодеків, тощо.","Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,"Мені, можна сказати, повезло. Мене зарекомендував на підприємство на практику викладач, який не займався розподіленням студентів на практику, і в результаті я попав у нормальну компанію, де пропрацював ще декілька років, і де я дійсно працював по спеціальності (розробка НВЧ пристроїв).
Викладач же, який знаходив практику для студентів у нас на кафедрі, восновному відправляв всіх на морально застарілі заводи, де самі працівники не завжди мали чим зайнятися. В результаті всі, хто пішов на такі заводи, просто написали звіт, і нічого нового не отримали.

Тому я б змінив людей, які відповідають за пошук підприємств для практики, на більш молодих, які розуміють і що зараз потрібно на ринку, і що цікаво студентам.",Під час навчання,3.0,Так,Так,,WePlay,IT,21-80,Team Lead Developer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,"Хочу порадити студентам знайти баланс між своєю спеціальністю, і попитом на ринку праці. В будь-якій сфері і галузі можна добитися висот, якщо постійно працювати над собою.
Викладачам же радив би час від часу оновлювати свої курси відповідно до сучасного світу) Особисто в мене було багато потрібних предметів, які я не дуже вивчав, тому що викладалися вони чуть застаріло. Хороша база це, звичайно, основне, але не лінуйтеся, хоча б для зацікавлення студентів, наводити сучасні приклади)","В опитуванні інколи не вистачало доступних варіантів відповіді. Зробіть пункт ""Свій варіант"""
220,2017/02/28 12:55:42 PM GMT+3,філо,2006,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Кандидатський чи докторський ступінь,,відстрочку від армії,"Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Так,,Під час навчання,4.0,Ні,Важко відповісти,"Ні, працюю в іншій галузі",,Освіта,До 20,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
221,2017/02/28 1:01:57 PM GMT+3,ЗТРИ,2016,Бакалавр,Навчатися в іншому ВНЗ,Бакалавр,,знання для використання на роботі,Повністю не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,1.0,Ні,Так,,,Шоу-бізнес,До 20,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,,
222,2017/02/28 1:09:54 PM GMT+3,БМК,2016,"Вчився в КПІ, але не закінчив навчання","Навчатися в КПІ, але за іншим напрямом",Бакалавр,"Я б зробив так, тому що диплом КПІ - це пропуск в Європу: робота, стандарти, цінності",знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку,"Щось влаштовує, щось ні",Повністю забезпечував,"Чимось задоволений, чимось ні",Теорія алгоритмів. На цьому предметі ми вивчали основи програмування. А програмування - це одна з провідних професій в Європі,Скоріше задоволений,Так,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Важко відповісти,,Досі не працюю,,,,,,,,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Не отримав роботу через те, що не мав диплому",Диплому бакалавра,,
223,2017/02/28 1:13:57 PM GMT+3,кафедра социологии и социальной работы,2005,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,якісна освіта,"знання для того, щоб займатися наукою",Скоріше влаштовує,Частково забезпечував,Повністю задоволений,"вища математика, теорія ймовірності, методи соціологічних та маркетингових досліджень",Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,письмові звіти,Під час навчання,1.0,Так,Важко відповісти,"Ні, працюю в іншій галузі",NOKS FISHES,ЗМІ,21-80,аналітик,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше так, але довелося вивчити деякі нові технології","Ні, потреба в спеціалістах зменшується",Так,Диплому спеціаліста,відстоювати вікові традиції університету та будувати нову генерацію студентів і викладачів,нічого
224,2017/02/28 1:23:01 PM GMT+3,соціології,2009,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Мене влаштовує якість освіти в КПІ,знання для використання на роботі,Скоріше влаштовує,Частково забезпечував,Скоріше задоволений,"Менеджмент, статистика",Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,,Під час навчання,2.0,Так,Так,Так,"ТОВ ""П.С. медіа""",Шоу-бізнес,До 20,"Продюсер тв-радіо, організатор массових заходів, керівник відділу","Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
225,2017/02/28 1:28:40 PM GMT+3,АМ,2014,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Кандидатський чи докторський ступінь,Потому что только тут поступила на бюджет,знання для використання на роботі;диплом - формальне підтвердження знань,"Щось влаштовує, щось ні",Частково забезпечував,,,,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,2.0,Ні,Так,"Ні, працюю в іншій галузі",,Маркетинг,81-200,Маркетинг менеджер,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
226,2017/02/28 1:33:00 PM GMT+3,ММЗI,2015,Бакалавр,"Навчатися там, де я навчався",Важко відповісти,"Если этот вопрос подразумевает обоснование предыдущего ответа -- людям, которые не видят себя в науке нет смысла идти учиться на магистра.",знання для використання на роботі;диплом - формальне підтвердження знань;можливість жити в гуртожитку,Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,Все дисциплины связанные со специальностью были полезны. Пригодились на работе.,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,,Одразу після закінчення університету,,Так,Так,Так,Ambisafe inc,IT,До 20,Software Engineer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
227,2017/02/28 1:33:53 PM GMT+3,Кафедра соціології,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,"КПІ топовий, і не зважаючи на те, що ФСП - не топовий факультет, рівень навчання все одно задовільний. Завдяки тому, що ФСП гуманітарний, мені вдалося набути хороших ""трансферебл софт скілс"" ;-)",знання для використання на роботі,Скоріше не влаштовує,Не забезпечував,Повністю задоволений,Усі.,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,"Я би зробила так, щоб можливості ""формально пройти практику і написати звіт"" не існувало.
Це якщо йдеться про проходження саме практики, а не практичних семінарських занять, бо у вас в анкету не зовсім зрозуміло написано.",Під час навчання,5.0,Ні,Так,"Ні, працюю в іншій галузі",2С Market,IT,21-80,Керівник відділу контролю наявності даних (ОКНД),"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,"Передаю палкий привіт студентам, випускникам та викладачам КПІ!
Студенти, займайтеся якомога більшою к-стю проектів (та ж Студ Рада), самоосвітою, вчіть мови, вміння, отримані в результаті можуть стати більш корисними, ніж знання від лекцій. 
Викладачі, намагайтеся розказуваи матеріал цікаво, по-сучасному, з залучення актуальних і нових даних, думайте про майбутнє студентів.
Хай щастить!","Мені залишилися не зрозумілими питаннями про практику. Про яку практику йшлося?
Я би і ще спитала, ""чому Ви змінили сферу діяльності і пішли працювати не за спеціальністю?""
і ще: ""якщо ви пішли працювати протягом навчання, то чи вдавалося поєднувати пари з роботою? і як до цього ставилися ваші колеги та в першу чергу викладачі?""
і ще ""чи підтримуєте ви зв'язки з викладачами після закінчення університету?"".
А загалом - ок :)"
228,2017/02/28 1:38:18 PM GMT+3,ПМА,2014,Бакалавр,Навчатися в іншому ВНЗ,Не закінчував би КПІ,Радили як гарний факультет/інститут,знання для використання на роботі,Скоріше не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні","Дискретна математика, математичний аналіз",,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"Нормально практику, а не профанацію у вигляді НДІ",Під час навчання,1.0,Ні,Так,"Ні, працюю в іншій галузі",ФОП,IT,Більше 800,Менеджер проектів,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Так, такі спеціалісти завжди будуть потрібні",Ні,,"В університеті потрібно отримувати максимум зі студентських проектів й напрацьовувати коло знайомств, а не спати на парах задля атестації",Певні варіанти некоректі до запитань
229,2017/02/28 1:39:10 PM GMT+3,АМ,2006,Бакалавр,Важко відповісти,Бакалавр,Не поступил в Шевченко ))),знання для використання на роботі;диплом - формальне підтвердження знань,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні",Культурология,Важко відповісти,Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Працював до вступу в університет,,Ні,Так,"Ні, працюю в іншій галузі",,Шоу-бізнес,До 20,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому бакалавра,,"больше сфер деятельности для компаний. 
Где благотворительность? Общественные организации?"
230,2017/02/28 1:45:53 PM GMT+3,Соціології,2012,Магістр або спеціаліст,Не навчатися в ВНЗ,Не закінчував би КПІ,"Взагалі не знадобилось нічого крім загальних знань, які можно було отримати де завгодно. По спеціальності не працюю. Заробляю спеціальність яку отримав на курсах за 1 місяць навчання. Я навіть диплом магістра не забрав, так і лежить на кафедрі шостий рік.",знання для використання на роботі;відстрочку від армії,Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,"Соціологія, Психологія",,Ні,"На кафедрі, не писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Ні,,Одразу після закінчення університету,,Ні,Так,"Ні, працюю в іншій галузі",Самозайнятий,Дизайн,До 20,Фотограф/відеооператор,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,"Самообразование! Институт - прошлое, сейчас не актуальная трата времени.",Нет позиций касающихся людей занимающихся бизнесом либо ЧП.
231,2017/02/28 1:49:23 PM GMT+3,ММЗІ,2015,Бакалавр,"Навчатися там, де я навчався",Бакалавр,,"знання для того, щоб займатися наукою;знання для використання на роботі;диплом - формальне підтвердження знань","Щось влаштовує, щось ні",Частково забезпечував,Повністю задоволений,"Майже всі технічні дисципліни.
Майже на всіх предметах є прикладні знання і більшість з математичних предметів формує спосіб мислення. Дуже вдячний свому інституту за фундаментальні знання.",Повністю задоволений,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Так,,Під час навчання,2.0,Ні,Так,Так,GetCode,IT,21-80,Tech Project Manager,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Так,Диплому бакалавра,Физтех имеет всех!,Количество текстовых полей и абстрактных вопросов.
232,2017/02/28 1:59:29 PM GMT+3,КЕОА,2014,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Ні,,Під час навчання,5.0,Так,Так,"Ні, працюю в іншій галузі",,IT,До 20,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,,
233,2017/02/28 2:04:33 PM GMT+3,пм,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,5.0,Так,Так,Так,,IT,201-800,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
234,2017/02/28 2:09:27 PM GMT+3,ОТ,2008,Бакалавр,"Навчатися там, де я навчався",Магістр або спеціаліст,"На момент вибору освіти думав, що це один з найбільш сучасних факультетів в Україні.","знання для того, щоб займатися наукою;знання для використання на роботі",Повністю не влаштовує,Повністю забезпечував,,"ООП - єдина дисципліна яка була на счасному рівні
Основи Операційних Систем - дуже важливо розуміти як працює ОС",,Ні,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,2.0,Так,Так,Так,Facebook,IT,Більше 800,Інженер Програмного Забезпечення,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Так, потреба в спеціалістах зростає",Ні,,,
235,2017/02/28 2:23:45 PM GMT+3,кафедра прикладної математики,2004,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,хотілося займатися математикою та програмуванням,"знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше влаштовує,Повністю забезпечував,Повністю задоволений,,Скоріше задоволений,Так,"На кафедрі, писав диплом",Дійсно проходив практику,Так,,Під час навчання,2.0,Ні,Так,"Ні, працюю в іншій галузі",КПІ імені Ігоря Сікорського,Освіта,Більше 800,Викладач,"Так, але краще займатися додатково, щоб отримати більше можливостей","Так, працював саме з тим, що вивчав в університеті","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
236,2017/02/28 2:33:25 PM GMT+3,ИТМ,2017,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,хорошая реклама) а по факту - неадекватные преподаватели.,знання для використання на роботі;диплом - формальне підтвердження знань;відстрочку від армії;можливість жити в гуртожитку,Повністю не влаштовує,Частково забезпечував,,,,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,ничего) отменил бы практику,Під час навчання,4.0,Ні,Так,"Ні, працюю в іншій галузі",,IT,До 20,,"Не знаю, не хочу працювати за спеціальністю","Ні, зараз немає роботи, де можна було б їх використати","Ні, потреба в спеціалістах зменшується",Ні,,"95% преподавателей следует давно уволить...
студентам - если планируете работать в Украине на гос. предприятии, то диплом нужен. Если же планируете работать в Украине в частной компании - диплом бесполезен. Если же планируете переезжать в Европу - диплом мастхэв, но не обязательно его получать в КПИ :)",
