,Отметка времени,Чому ви обрали саме КПІ?,Чи відповідає дійсність очікуванням,Ви одразу вступили до КПІ чи перевилися з іншого ВНЗ?,На якому курсі це відбулося?,Що ви хочете отримати від навчання?,Чи обрали б ви КПІ знову?,Чи задоволені ви спілкуванням з іншими студентами?,Чи задоволені ви спілкуванням зі своїми викладачами?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечує вас університет всім необхідним для навчання?,Чого саме не вистачає?,У вас була виробнича/переддипломна практика,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Чи плануєте ви працювати за спеціальністю?,Чи працюєте/працювали ви під час навчання?,На якому курсі ви почали працювати?,В якій компанії ви працюєте?,Галузь компанії:,Кількість працівників:,На якій посаді ви працюєте?,"Передайте привіт студентам, випускникам та викладачам КПІ",Щоб ви змінили в цьому опитуванні?
402,27.02.2017 12:31:04,Найкращий ВНЗ України,"Так, відповідають",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Повністю забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Ні,Ні,,,,,,Життя прекрасне разом з КПІ,Все влаштовує
403,27.02.2017 12:31:10,,"нет,
 черезчур ""совок"",
у некоторых предавателей много писанины и ""0"" понимания",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,"теплих корпусів; і нового обладнання, для розуміння новітніх технологій",Ні,,,,,,,Ні,"Так, не за спеціальністю",2.0,,Сфера обслуговування,21-80,,"Нікому, хочу швидше довчитися, тому що толку мало, більше всього що ті знання які мені дадуть взагалі не виявляться потрібними",
404,27.02.2017 12:33:12,"Тому, що це найкращий технічний ВУЗ країни і саме тут відкриваються нові горизонти.",Очікування повністю виправдались. Тут з лінивих роблять роботящих.,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Повністю влаштовує,Частково забезпечує,"Хотілося б, щоб усіх студентів забезпечували рекомендаціями щодо місць, де можливо отримати ту чи іншу інформацію.",Ні,,,,,,,Так,Ні,,,,,,Ви повинні це спробувати на собі...,
405,27.02.2017 12:34:01,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Важко відповісти,,Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",2.0,,Будівництво,21-80,,,
406,27.02.2017 12:34:41,,±,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Повністю забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,"Думайте головою, вмійте изнавати свої помилки",є питання на які не підходять ні одна з відповідей
407,27.02.2017 12:36:34,Добрі можливості та перспективи,Ну тауое,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Важко відповісти,"Чимось задоволений, чимось ні","Чимось задоволений, чимось ні",Скоріше влаштовує,Частково забезпечує,Практичного,Так,,Ні,"На кафедрі, не писав диплом",Дійсно проходив практику,Ні,"Ніякої кафедральної практики, лише підприємства",Важко відповісти,"Так, не за спеціальністю",4.0,,Страхування,21-80,,,
408,27.02.2017 12:37:33,Пристижно,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,"Хотілося б, отримати футболку з назвою університету та групою",Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",1.0,,Маркетинг,До 20,,Хочу передати привіт Іващенку Ігорю Анатолійовичу)) Треба ще таких крутих викладачів)),
409,27.02.2017 12:38:59,"Це місце, де можна насолоджуватись улюбленою справою разом з такими самими фанатиками, як ти сам :)","Так, більшість моїх викладачів чудові і неймовірні. Інша справа з більш високими чинами ...",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні",Повністю задоволений,Скоріше влаштовує,Частково забезпечує,"Опалення в аудиторіях, більше місць швидкого харчування в корпусах, ремонт у аудиторіях, друк методичних матеріалів",Ні,,,,,,,Так,Ні,,,,,,"Дякую всім своїм найкращим викладачам, завдяки вам я закохалась в науку і нікуди її вже не відпущу :) Кожен з вас робить нас, студентів, трошечки краще щодня. Ми вас любимо, дякуємо вам за все!","Все добре, дякую, що ви є :)"
410,27.02.2017 12:41:32,Мріяв бути інженером електронщиком.,"В більшості так, за виключенням декількох викладачів на старших курсах.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,"Вважаю, що в 21 сторіччі більшість дисциплін повинні викладатися змішано (відеолекції + пари)",Так,,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Ні,"Надав можливість студентам при проходженні практики на кафедрі більше гнучко обирати, що робити.",Ні,"Так, не за спеціальністю",2.0,,Дизайн,До 20,Арт-директор,,"В оцінці особистих якостей викладачів недостатньо варіантів. Виходить так, що викладач або дуже позитивний, або ""конфліктний"" чи ""хабарник"". Але дуже часто проблеми викладачів в плані особистих якостей полягають в іншому, наприклад вплив особистих переконань на оцінювання студентів або байдужість до проблем у вирішенні певних завдань."
411,27.02.2017 12:43:18,вважаю найкращим вузом України,70 на 30,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Спорт,До 20,,,
412,27.02.2017 12:44:47,Мрія дитинства,Не зовсім,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,Атрибутики для абітурієнтів та студентів,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",2.0,Design creatives,Дизайн,До 20,Дизайнер,"Дякую КПІ за чудовий колектив, ініціативних людей, які роблять ВНЗ краще",Більше варіантів оцінювання викладачів
413,27.02.2017 12:46:04,Тому що кпі найкращий внз в Україні. Всі знайомі радили саме його,Не дуже,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Частково забезпечує,"Обладнання в аудиторіях і в корпусах, нові компютери",Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",1.0,Працюю фрілансером,IT,Більше 800,Фронт-енд,привіт,
414,27.02.2017 12:47:00,Бо це найкращий вуз України),Загалом так,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,Матеріально-технічної бази,Так,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,"Створив можливість проходження виробничої практики на базі університету, бо приватним компаніям потрібні вже готові фахівці з виробничою практикою",Так,Ні,,,,,,"Хочу передати привіт всім людям, які так чи інакше пов'язані з кафедрою МРВ та побажати реалізувати себе в житті :)",досить непогане опитування)
415,27.02.2017 12:49:45,,ні,Одразу вступив до КПІ,,Відстрочку від армії,"Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні",Повністю не влаштовує,Не забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",3.0,,IT,21-80,Scala Developer,,
416,27.02.2017 12:49:55,Найкращий технічний вуз.,"Скоріше так, чим ні.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Не забезпечує,"Ремонт корпусу, більш сучасне обладнання, а не те що залишилось з СССР. Лаби змушені робити на старих приладах. В корпусах холодно.",Ні,,,,,,,Так,"Так, за спеціальністю",2.0,Нова почта,Сфера обслуговування,81-200,Робітник,Якщо збираєтесь лінуватись та нічого не вчити - то не поступайте в КПІ.,Менше запитань.
417,27.02.2017 12:51:41,Переваги студ. містечка + репутація закладу,7 із 10,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,Повністю не влаштовує,Частково забезпечує,Хім. реагентів та хім. обладнення,Так,,Ні,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Ні,Вести самостійний вибір місця практики,Так,"Так, не за спеціальністю",2.0,,Торгівля,До 20,,,
418,27.02.2017 12:52:47,Порекомендували,40% на 60%,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"нових лабораторних робіт, інтернету і розеток у корпусі",Так,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Так,Ні,,,,,,,
419,27.02.2017 12:52:57,Найкращий ВНЗ України. Високий рівень знань.,Ні.,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,Скоріше не влаштовує,Частково забезпечує,"Підручників. Наукових матеріалів. Технічного забезпечення. Сучасного обладнення. Практики. Цікавого підходу до навчання. Можливості студентам обирати собі розклад, та курси які бажаєшь відвідувати.",Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Маркетинг,До 20,Голова персоналу з продаж та маркетингу,"Хочу передати вітання усім викладачам кафедри МТ, та своїм одногрупникам.",Добавив би більше питань щодо самостійного вибору курсів лекций та про необхідність внекласних занять.
420,27.02.2017 12:53:17,"Планував навчатися в Києві, обрав КПІ, тому що отримав достатньо хороших відгуків про це цей навчальний заклад, а також тут навчаються мої друзі","Так, все задовольняє",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,"Передаю всім привіт, радий, що я знаходжуся в такому середовищі з такими талановитими і розумними людьми. Дякую за підтримку та розуміння)",Все добре
421,27.02.2017 12:57:07,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Повністю задоволений,Скоріше задоволений,Важко відповісти,Частково забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
422,27.02.2017 12:57:33,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні",Скоріше влаштовує,Частково забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
423,27.02.2017 12:59:19,Потому что это лучший технический вуз Украины (по рейтингу),"Нет, не отвечает.  Программа обучения ОЧЕНЬ отстает.",Одразу вступив до КПІ,,Знання для використання на роботі,Не навчатися в ВНЗ,Скоріше задоволений,"Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,"Нормальных компьютеров с нормальным программным обеспечением.  Постоянно нужно носить ноутбук, что бывает тяжело.",Ні,,,,,,,Так,"Так, за спеціальністю",3.0,,IT,81-200,Разработчик ПО,,
424,27.02.2017 13:00:50,Завжди подобалась атмосфера КПІшного життя.,"Я знала про складнощі та мала уявлення про викладачів ВНЗ, тож отримала все те, чого й очікувала.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,,
425,27.02.2017 13:04:04,Тому що не було можливості вступати в ДонНТУ через військове положення,-,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,"Чимось задоволений, чимось ні",Скоріше незадоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
426,27.02.2017 13:05:28,"Це була моя мрія, яка здійснилася )",В більшості випадків все відповідає очікуванню,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Частково забезпечує,Хотілось щоб халати давали безкоштовно ),Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, не за спеціальністю",1.0,,Шоу-бізнес,До 20,Аніматор дитячих свят та офіціантом,Дякую всім КПІшникам за те що Ви є ) ЖИВИ.ЛЮБИ.КПІ.,
427,27.02.2017 13:07:36,"Завжди знала, що буду навчатись в КПІ",майже),Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні",Повністю влаштовує,Частково забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Маркетинг,До 20,,"Хотілось бі, щоб в аудиторіях було трохи тепліше",
428,27.02.2017 13:08:52,Всегда мечтал заниматься физикой микро- и наноэлектроникой,,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Тёплой воды в батареях,Ні,,,,,,,Так,Ні,,,,,,,
429,27.02.2017 13:09:45,"Ходили чутки, що КПІ - найпрестижніший ВУЗ нашої країни, тому обрав його.
Також КПІ більше Кузнецовський Політехнічний Інститут, ніж Київський, тому що 85% абітурієнтів йдуть в КПІ, що і робить цьому ВУЗу репутацію у нас. Не виключено, що це цей стадний інстинкт вплинув, щоб обрати саме цей політех з багатьох інших.","Більшість викладачів адекватні і компетентні в своїх предметах, вміють зацікавити, і самі зацікавлені в тому, щоб нас чомусь навчити. Звісно, були випадки коли викладач не дуже хотів йти на зустріч студентам, або просто якісь папірці були їм важливіше за здоровий глузд. Але, загалом, можна сказати, що не погано, але є над чим працювати",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Важко відповісти,Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Не забезпечує,"Немає методичок, деяких підручників, аудиторії не отоплюються, мало комп'ютерних класів, де можна відточити свої вміння, застаріле обладнання.",Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",3.0,,Торгівля,21-80,Адміністратор,"Дякую КПІ за ""теплі"" аудиторії, ""хорошу"" систему оцінювання,""найкращу"" систему отримання стипендій, вмінням деяких викладачів йти на зустріч.
Але дійсно хочу побажати деяким викладачам, які дійсно можуть і головне хочуть чомусь навчити роблячи для цього все можливе ( Тимохін О.В. Настенко Д.В. Буслова Н.В. Трофимчук О.П. Захарченко Р.В. Кудря Є.А. Аношкова Т. та деякі інші). Зроблю висновок що КПІ хоч і не ідеальний, але все таки найкращий)",Добавив би більше варіантів відповідей та більше запитань по-суті.
430,27.02.2017 13:09:58,,Ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
431,27.02.2017 13:11:51,"Найпрестижніший ВНЗ, з гарними варіантами майбутнього працевлаштування","Більшість викладачів не намагаються ""навчити"" студентів, передати знання. Відносно мало викладачів які дійсно хочуть чомусь навчити",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше незадоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Програми застарілі, комп'ютерні класи тим паче. Деякі прикладні речі(які використовуються на практиках: плати, пристрої) також застарілі, або маються в єдиному екземплярі(унікальність, чом би й ні)",Ні,,,,,,,Ні,"Так, не за спеціальністю",2.0,Lucky Labs,IT,81-200,"DevOps, RnD, системний адміністратор. По трудовій саме ""адміністратор систем""","Навчайтесь, бо Україна гідна кращого майбутнього!","Фотографії вчителів не завадили б)
Так як більшість викладачів ""вибачте будь ласка"", то було б добре ще впізнавати по обличю"
432,27.02.2017 13:18:34,"Послухав своє тодішнє оточення і повірив, що це гарний ВНЗ...","Категорично ні.
Навчальний процес організован сумбурно і беззмістовно, орієнтован на халтуру та списування. Компетентність викладачів або взагалі відсутня, або недостатня, або не має місця для реалізації через ідіотський навчальний план, перелік предметів та незацікавленість вагомої частки студентів.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Навчатися в іншому ВНЗ,Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,"Ліцензій на ""необхідний"" (з т.з. викладачів) софт, будь-то богомєрзкій Віндоус чи якісь застарілі програми. UNIX та GPL я так розумію в КПІ не практикують із релігіозних зображень, навчання - значить піратство!",Ні,,,,,,,Так,"Так, за спеціальністю",1.0,,IT,81-200,Програміст,"Дякую за проект, сподіваюсь він хоч якось буде репрезентувати становище в рідному університеті.","Більш детальний рейтинг викладачів, кешування в куках статусу, щоб при перезавантажуванні сторінки не починати опитування спочатку."
433,27.02.2017 13:19:26,Тут хороші умови,приблизно на 60% від очікуваних 100%,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"тепла в аудиторіях, адекватного розкладу, нормальних туалетів у корпусах, дешевшого проживання в гуртожитках",Ні,,,,,,,Так,Ні,,,,,,"хочу побажати студентам і викладачам, щоб адміністрація вузу та міністерство освіти було ближче і не закривало очі на проблеми як студентів, так і викладачів","багато кому буде просто лінь щось писати у відповідь на відкриті питання
раджу щось із цим зробити"
434,27.02.2017 13:20:24,,,Одразу вступив до КПІ,,Відстрочку від армії,Не навчатися в ВНЗ,Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Агробізнес,81-200,,,
435,27.02.2017 13:20:38,"Тому що, в Києві це найкращий інститут(університет)","Не зовсім відповідає, адже бабгато викладачів надають застарілу інформацію",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,"Wi-Fi у корпусі, для більш швидкого доуступу до інформації",Так,Важко відповісти,Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"У тому вигляді, в якому зараз проводиться практика, я не бачу у ній сенсу, адже на 4-му курсі, якщо ти розбираєшься в своїй спеціальності, то ти найвірогідніше, що вже працюєш! А стосовно третього курсу, то краще бі дали завдання пройти тренінг на прометеусі",Так,"Так, за спеціальністю",4.0,EPAM,IT,Більше 800,Junior Java dev,,
436,27.02.2017 13:23:30,Хотів отримати гідну освіту за цікавою для мене спеціальністю,Так,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,"Так, за спеціальністю",2.0,,IT,21-80,,,
437,27.02.2017 13:24:40,"Хороший ВУЗ, который дает полное понимание фундаментальных науках и готовит решать ПРОБЛЕМЫ","Не совсем. Хотелось бы, чтобы обратная связь была на более высоком уровне",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Важко відповісти,Частково забезпечує,Теплых аудиторий зимой,Ні,,,,,,,Так,"Так, за спеціальністю",2.0,,IT,81-200,,,"Добавил бы больше вариантов для негативной оценки преподавателей, а не только конфликтность и взятничество. А так, вы большие молодцы.Спасибо вам!"
438,27.02.2017 13:25:12,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
439,27.02.2017 13:25:30,,"Так, я підозрював, шо буде такий безлад",Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,Навчатися в іншому ВНЗ,Скоріше незадоволений,"Чимось задоволений, чимось ні",Повністю не влаштовує,Частково забезпечує,Потужних комп'ютерів для складних обчислень,Так,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",3.0,,Наука,До 20,,Привіт),Кількість та зміст питань
440,27.02.2017 13:25:43,"По легенде, один из лучших вузов",нет,Одразу вступив до КПІ,,Відстрочку від армії,Важко відповісти,Скоріше задоволений,Скоріше незадоволений,Повністю не влаштовує,Не забезпечує,"Современной техники и, блять, отопления",Так,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,Принципы подбора вакансий от КПИ и тонны макулатуры для оформления практики,Так,"Так, за спеціальністю",3.0,ПУМБ,IT,Більше 800,Front-end Developer,"Желаю найти себя, вторую половинку, настоящих друзей и знания, не смотря на все старания КПИ",Все супер:)
441,27.02.2017 13:26:54,Найкращий учбовий заклад вищої освіти,Трошки ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,"Хочу передати привіт Бондаренко Сергію Григоровичу, це чудовий викладач.",нічого
442,27.02.2017 13:27:44,С 5 лет мечтал здесь учится !!!,Нет!,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,,Ні,,,,,,,Ні,Ні,,,,,,,"Вибір характеристик викладача взагалі некоректний.
Присутні тільки позитивні риси та конфліктність, хабарництво.
І я не можу нажати далі, тому що потрібно щось вибрати. 
А вибирати нічого!!! Доводиться вибирати конфліктність(
Хоча викладач і не конфліктний і не хабарник, але матеріал викладає жахливо."
443,27.02.2017 13:29:24,"Мріяв стати програмістом
Входить в тройку найкращих університетів України
Можливість отримати гідну роботу після навчання","Не відповідає, багато предметів що неяк не допомагають у реалізації моїх планів
Деякі предмети взавгалі  лише потрачений час, мене не навчили нічого
Предмети для саморозвитку мають бути лояльнішими
Предмети по спеціальності більш-менш відповідають очікуванням",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",2.0,,Сфера обслуговування,21-80,,,
444,27.02.2017 13:30:01,Це найкращий технічний ВНЗ у м. Київ.,Ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,Більше нагядного матеріалу,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",2.0,Зараз не працюю,IT,До 20,,"Бажаю, щоб КПІ ввійшов у рейтинг ВНЗ Times :)",Уникати повторення питань
445,27.02.2017 13:30:10,Найкращий технічний вуз країни,так,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Повністю забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,,
446,27.02.2017 13:30:59,Хотів стати технарем,Відносно так,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше не влаштовує,Частково забезпечує,"Наочні матеріали, роботи і т д",Ні,,,,,,,Так,Ні,,,,,,Дякую за все :),Менше однотипних питань
447,27.02.2017 13:31:24,Найкращий варіант для моєї спеціальності в країні,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"Окрім фірмових футболок, не вистачає комп'ютерних класів, цілих меблів та опалення в корпусах",Ні,,,,,,,Так,Ні,,,,,,,
448,27.02.2017 13:31:54,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,"Так, за спеціальністю",5.0,,IT,21-80,Developer,,
449,27.02.2017 13:34:15,престижно,так,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
450,27.02.2017 13:34:28,,+,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
451,27.02.2017 13:35:59,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",3.0,,IT,21-80,,,
452,27.02.2017 13:36:49,"Був зацікавлений у конкретній спеціальності, і КПІ був найтоповіший з київських внз, де ця спеціальність булв. Також в КПІ поступали багато однокласників, і я вже мав знайомих що вчились і схвально відзивались про внз","Повністью, що правда я багато і не очікував",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
453,27.02.2017 13:36:56,"Потому что это Кааа, это Пэээ, это Ииии! На самом деле ситуация была сложная так как я выехал из территории ато на зно и поступал без аттестата, мед справки, приписного на руках. КПИ был чем-то вроде мечты, кроме Киева подавал в Харьков и Днепр. ЗНО сдал хорошо и прошел во всех 21 подачах, но первыми согласились принять без нужного пакета документов в ХПИ. Уже во время сбора в Харьков позвонили с ФБМИ с тем что документы не проблема, довезу в сентябре, рады видеть меня в их рядах, и это было очень круто! А вообще огромную роль сыграла раскученность универа в сети, ведь на то время у меня почти не было знакомых которые бы здесь учились и могли бы что-то по советовать.",,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Повністю забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",1.0,,Охорона,81-200,,"КПИ это очень круто если пользоваться с умом! Есть жизнь и после КПИ, но не стоит к ней торопиться",
