На якому факультеті КПІ ви викладаєте?,На скількох факультетах ви викладаєте на постійній основі?,Які дисципліни ви викладаєте?,Кількість ваших пар на тиждень в попередньому семестрі,Чи працюєте ви ще десь крім викладання в КПІ? (неоплачувана робота теж рахується),"Чи задоволені ви навчальними планами та іншими рекомендаціями від Міністерства освіти для дисциплін, які викладаєте?","Чи влаштовує вас рівень бюрократії, з яким ви стикаєтеся під час роботи?",Що ваші студенти хочуть отримати від навчання?,"Кількість дисциплін, які ви викладали в попередньому семестрі",faculty_id,"Чи забезпечує вас кафедра (факультет), де ви працюєте, всім необхідним для роботи? ",Чи влаштовує вас рівень наукової діяльності в межах КПІ?,На якій кафедрі ви працюєте?,Як часто ви готуєтеся до проведення навчальних занять?,Чи задоволені ви роботою в КПІ?,"Як ви підвищуєте знання з дисциплін, які викладаєте?",Чи задоволені ви спілкуванням зі своїми студентами?,Скільки років ви викладаєте?
4,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,знання для використання на роботі,2-3,4,Частково забезпечує,Складно відповісти,,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,6
13,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,знання для використання на роботі,2-3,13,Частково забезпечує,Не влаштовує,,Завжди,Складно відповісти,"Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,12
18,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Повністю не влаштовує,знання для використання на роботі,2-3,18,Складно відповісти,Складно відповісти,МЕ,Часто,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Повністю задоволений,2
13,1,спеціальні дисципліни,до 13,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,13,Повністю забезпечує,Не влаштовує,АТЕП,Часто,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Повністю задоволений,5
21,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Не влаштовує,знання для використання на роботі,2-3,21,Частково забезпечує,Складно відповісти,,Завжди,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,22
21,2-3,"спеціальні дисципліни, дисципліни гуманітарного циклу",до 4,Ні,Складно відповісти,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,21,Частково забезпечує,Повністю влаштовує,Кафедра промислового маркетингу,Часто,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,15
21,1,спеціальні дисципліни,до 4,Ні,Не задоволений,Повністю не влаштовує,знання для використання на роботі,2-3,21,Частково забезпечує,Не влаштовує,МЕ,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,8
21,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни, дисципліни гуманітарного циклу",до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,21,Частково забезпечує,Влаштовує,КМЕ,Завжди,Складно відповісти,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,3
20,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Не влаштовує,знання для використання на роботі,2-3,20,Не забезпечує,Не влаштовує,КТППАМ,Завжди,Задоволений,Пишу статі та інші матеріали,Задоволений,24
20,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Не влаштовує,знання для використання на роботі,2-3,20,Не забезпечує,Не влаштовує,КТППАМ,Завжди,Задоволений,Пишу статі та інші матеріали,Задоволений,24
21,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,21,Частково забезпечує,Складно відповісти,ММЕС,Часто,Складно відповісти,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,7
4,2-3,спеціальні дисципліни,до 7,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,4,Повністю забезпечує,Влаштовує,,Інколи,Задоволений,Пишу статі та інші матеріали,Повністю задоволений,10
4,2-3,спеціальні дисципліни,до 7,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,4,Повністю забезпечує,Влаштовує,,Інколи,Задоволений,Пишу статі та інші матеріали,Повністю задоволений,10
8,1,спеціальні дисципліни,до 7,Ні,Складно відповісти,Повністю не влаштовує,відсрочку від армії,2-3,8,Частково забезпечує,Не влаштовує,,Інколи,Складно відповісти,Працюю в цій галузі,Задоволений,12
18,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії",2-3,18,Частково забезпечує,Влаштовує,,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,12
20,1,базові дисципліни молодших курсів,до 7,Ні,Задоволений,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань",1,20,Повністю забезпечує,Влаштовує,ТППАМ ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,18
21,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни, дисципліни гуманітарного циклу",до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",2-3,21,Не забезпечує,Влаштовує,МЕ,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,18
20,1,базові дисципліни молодших курсів,до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",2-3,20,Не забезпечує,Складно відповісти,,Завжди,Не задоволений,"Працюю в цій галузі, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,5
7,1,базові дисципліни молодших курсів,до 13,Ні,Повністю не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань",4-5,7,Частково забезпечує,Не влаштовує,ІБ,Часто,Задоволений,"Працюю в цій галузі, Пишу статі та інші матеріали",Задоволений,5
22,1,спеціальні дисципліни,до 4,Ні,Складно відповісти,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,22,Повністю забезпечує,Влаштовує,ТПУ,Часто,Повністю задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,14
7,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою",4-5,7,Складно відповісти,Повністю не влаштовує,,Інколи,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали",Задоволений,2
19,1,базові дисципліни молодших курсів,до 13,Ні,Складно відповісти,Влаштовує,знання для використання на роботі,2-3,19,Повністю забезпечує,Складно відповісти,ТК,Завжди,Повністю задоволений,Читаю фахові видання,Повністю задоволений,9
2,1,базові дисципліни молодших курсів,до 13,Ні,Не задоволений,Не влаштовує,"знання для використання на роботі, відсрочку від армії, можливість жити в гуртожитку",2-3,2,Повністю забезпечує,Складно відповісти,ММСА,Завжди,Задоволений,Читаю фахові видання,Задоволений,16
8,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,Ні,Задоволений,Повністю не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,7,Частково забезпечує,Влаштовує,,Завжди,Задоволений,"Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,3
20,2-3,дисципліни гуманітарного циклу,до 7,Ні,Повністю не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",2-3,20,Повністю забезпечує,Повністю не влаштовує,,Завжди,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,5
12,1,спеціальні дисципліни,до 7,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,12,Повністю забезпечує,Не влаштовує,ТОР,Інколи,Задоволений,"Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,8
7,1,базові дисципліни молодших курсів,до 17,"Так, це має відношення до дисциплін, які я викладаю",Задоволений,Не стикався з бюрократією під час роботи,знання для використання на роботі,1,7,Повністю забезпечує,Повністю влаштовує,ІБ,Рідко,Повністю задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Повністю задоволений,4
20,1,"базові дисципліни молодших курсів, спеціальні дисципліни, дисципліни гуманітарного циклу",до 13,Ні,Складно відповісти,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,20,Повністю забезпечує,Складно відповісти,ТППФМ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,8
7,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Задоволений,Влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",1,7,Частково забезпечує,Повністю не влаштовує,ІБ,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Не задоволений,8
12,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,знання для використання на роботі,1,12,Частково забезпечує,Влаштовує,РТПС,Часто,Задоволений,"Працюю в цій галузі, Читаю фахові видання",Повністю задоволений,8
7,1,спеціальні дисципліни,до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Повністю задоволений,Не стикався з бюрократією під час роботи,"знання для того, щоб займатися наукою",1,7,Складно відповісти,Складно відповісти,,Завжди,Повністю задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,2
17,2-3,спеціальні дисципліни,до 17,Ні,Задоволений,Складно відповісти,знання для використання на роботі,2-3,17,Повністю забезпечує,Влаштовує,ЕМ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,4
23,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не стикався з бюрократією під час роботи,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань",1,23,Частково забезпечує,Повністю не влаштовує,,Часто,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Читаю фахові видання",Повністю задоволений,3
17,1,базові дисципліни молодших курсів,до 7,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",1,17,Частково забезпечує,Не влаштовує,,Завжди,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,4
13,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,13,Не забезпечує,Повністю не влаштовує,АПЕПС,Завжди,Складно відповісти,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, викладаю в інших місцях ",Задоволений,12
4,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,4,Частково забезпечує,Влаштовує,ВСтаР,Завжди,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,4
2,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,2,Повністю забезпечує,Влаштовує,,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Задоволений,2
21,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,Ні,Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,21,Повністю забезпечує,Влаштовує,ЕіП ,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
20,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,знання для використання на роботі,1,20,Повністю забезпечує,Складно відповісти,КТППАМ,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,1
17,1,спеціальні дисципліни,17 і більше,"Так, але це не має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",6 і більше,17,Не забезпечує,Повністю влаштовує,ЕТ,Складно відповісти,Повністю не задоволений,"Не вдосконалюю рівень своїх знань, я ипал",Складно відповісти,50
26,1,базові дисципліни молодших курсів,до 7,Ні,Складно відповісти,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,26,Частково забезпечує,Складно відповісти,,Завжди,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Складно відповісти,4
26,1,базові дисципліни молодших курсів,до 7,Ні,Складно відповісти,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,26,Частково забезпечує,Складно відповісти,,Завжди,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Складно відповісти,4
21,2-3,спеціальні дисципліни,до 13,Ні,Задоволений,Повністю влаштовує,знання для використання на роботі,6 і більше,21,Повністю забезпечує,Повністю влаштовує,км,Завжди,Повністю задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали",Повністю задоволений,19
17,4-5,базові дисципліни молодших курсів,17 і більше,Ні,Не задоволений,Повністю не влаштовує,знання для використання на роботі,4-5,17,Частково забезпечує,Влаштовує,,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,6
25,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",2-3,25,Частково забезпечує,Повністю не влаштовує,,Часто,Складно відповісти,"Працюю в цій галузі, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,7
9,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,9,Складно відповісти,Складно відповісти,,Завжди,Задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,20
11,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",4-5,11,Частково забезпечує,Складно відповісти,производства приборов,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,8
17,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,знання для використання на роботі,4-5,17,Складно відповісти,Не влаштовує,АЕ,Часто,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,4
5,1,спеціальні дисципліни,до 7,Ні,Задоволений,Не влаштовує,знання для використання на роботі,4-5,5,Частково забезпечує,Влаштовує,ЕП ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
18,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Не стикався з бюрократією під час роботи,диплом - формальне підтвердження знань,2-3,18,Не забезпечує,Мені байдуже,ПЭ,Не готуюся,Повністю не задоволений,Не вдосконалюю рівень своїх знань,Повністю задоволений,17
9,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,диплом - формальне підтвердження знань,1,9,Складно відповісти,Не влаштовує,ФМ,Завжди,Складно відповісти,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали",Складно відповісти,9
10,викладаю майже на всіх факультетах,"базові дисципліни молодших курсів, спеціальні дисципліни, дисципліни гуманітарного циклу",17 і більше,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",6 і більше,10,Складно відповісти,Влаштовує,ЕтаТРП,Завжди,Повністю задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання, Не вдосконалюю рівень своїх знань, інше",Повністю задоволений,26
23,1,базові дисципліни молодших курсів,до 13,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,диплом - формальне підтвердження знань,2-3,23,Частково забезпечує,Повністю не влаштовує,ПМА,Завжди,Не задоволений,"Працюю в цій галузі, Пишу статі та інші матеріали",Складно відповісти,2
2,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",1,2,Повністю забезпечує,Складно відповісти,ММСА,Часто,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,10
18,1,спеціальні дисципліни,до 7,Ні,Складно відповісти,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",4-5,18,Частково забезпечує,Складно відповісти,,Часто,Задоволений,Пишу статі та інші матеріали,Задоволений,5
7,1,базові дисципліни молодших курсів,до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,відсрочку від армії,6 і більше,7,Не забезпечує,Повністю не влаштовує,ІБ,Не готуюся,Не задоволений,Не вдосконалюю рівень своїх знань,Повністю не задоволений,4
13,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Складно відповісти,знання для використання на роботі,2-3,13,Не забезпечує,Влаштовує,АТЕП,Завжди,Складно відповісти,Працюю в цій галузі,Задоволений,10
25,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Не влаштовує,диплом - формальне підтвердження знань,4-5,25,Частково забезпечує,Не влаштовує,,Завжди,Задоволений,Працюю в цій галузі,Задоволений,4
6,1,спеціальні дисципліни,до 4,Ні,Складно відповісти,Повністю не влаштовує,"знання для того, щоб займатися наукою, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",1,6,Частково забезпечує,Складно відповісти,ЛТФТ,Часто,Задоволений,"Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,1
11,1,спеціальні дисципліни,до 7,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,"відсрочку від армії, можливість жити в гуртожитку",4-5,11,Не забезпечує,Не влаштовує,,Часто,Складно відповісти,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,10
13,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Повністю не задоволений,Повністю не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,13,Складно відповісти,Повністю не влаштовує,,Завжди,Не задоволений,"Пишу статі та інші матеріали, Читаю фахові видання",Не задоволений,6
4,1,спеціальні дисципліни,до 4,Ні,Задоволений,Складно відповісти,все вищеперераховане,2-3,4,Не забезпечує,Не влаштовує,,Завжди,Складно відповісти,"Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,18
23,2-3,дисципліни гуманітарного циклу,до 7,Ні,Задоволений,Влаштовує,диплом - формальне підтвердження знань,2-3,23,Частково забезпечує,Складно відповісти,,Завжди,Повністю задоволений,Пишу статі та інші матеріали,Задоволений,3
25,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,25,Частково забезпечує,Не влаштовує,ТЕХВ,Завжди,Складно відповісти,"Працюю в цій галузі, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
25,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,25,Частково забезпечує,Не влаштовує,ТЕХВ,Завжди,Складно відповісти,"Працюю в цій галузі, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
18,1,спеціальні дисципліни,до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,знання для використання на роботі,2-3,18,Частково забезпечує,Не влаштовує,кеоа,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,7
22,4-5,дисципліни гуманітарного циклу,до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань, практичні навички, комунікативна компетентність, цікаві пари",2-3,22,Повністю забезпечує,Влаштовує,Філософії,Часто,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,5
20,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для того, щоб займатися наукою, диплом - формальне підтвердження знань",4-5,20,Частково забезпечує,Влаштовує,,Часто,Складно відповісти,"Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали",Задоволений,5
2,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",4-5,2,Частково забезпечує,Влаштовує,,Завжди,Задоволений,"Працюю в цій галузі, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,15
11,1,спеціальні дисципліни,до 13,Ні,Складно відповісти,Влаштовує,знання для використання на роботі,4-5,11,Частково забезпечує,Повністю влаштовує,,Часто,Повністю задоволений,"Працюю в цій галузі, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,3
5,1,спеціальні дисципліни,до 7,Ні,Задоволений,Не влаштовує,знання для використання на роботі,4-5,5,Частково забезпечує,Влаштовує,ЕП ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
10,2-3,спеціальні дисципліни,до 7,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,10,Повністю забезпечує,Повністю влаштовує,ХПСМ,Завжди,Повністю задоволений,"Пишу статі та інші матеріали, Читаю фахові видання",Не задоволений,4
11,2-3,спеціальні дисципліни,до 7,Ні,Складно відповісти,Складно відповісти,знання для використання на роботі,2-3,11,Частково забезпечує,Складно відповісти,ВП,Часто,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,9
6,2-3,спеціальні дисципліни,до 7,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,6,Частково забезпечує,Не влаштовує,,Завжди,Задоволений,"Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,3
17,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",4-5,17,Повністю забезпечує,Складно відповісти,емс,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,16
